epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4066.4,1.40178,0.94287,1.02326,0.77534,0.65455,0.79504,0.38751,1.69749,1.0978,1.03452,0.005842,0.005842,0.005842
44,4158.83,1.49672,0.99568,1.0313,0.75446,0.67273,0.76905,0.41241,1.5645,1.10985,0.99552,0.005743,0.005743,0.005743
45,4251.39,1.48041,0.98402,1.01618,0.73895,0.66913,0.75464,0.37752,1.7898,1.05052,1.05002,0.005644,0.005644,0.005644
46,4343.62,1.40457,0.9619,1.01456,0.59717,0.76364,0.72854,0.40069,1.65083,1.04236,1.01816,0.005545,0.005545,0.005545
47,4436.34,1.4062,0.97545,1.00547,0.63702,0.8616,0.78765,0.41355,1.58735,1.0466,0.9976,0.005446,0.005446,0.005446
48,4528.85,1.4303,0.94742,1.02399,0.65016,0.72727,0.72595,0.29993,1.95259,1.13912,1.09572,0.005347,0.005347,0.005347
49,4621.4,1.41907,0.9471,1.01979,0.68137,0.73881,0.73596,0.37054,1.62734,1.10075,1.00663,0.005248,0.005248,0.005248
50,4713.91,1.45907,0.97895,1.03211,0.67903,0.69239,0.71991,0.38853,1.57203,1.10687,0.99774,0.005149,0.005149,0.005149
51,4806.64,1.4,0.95661,0.99021,0.72396,0.70909,0.75919,0.40478,1.67804,1.08186,1.02477,0.00505,0.00505,0.00505
52,4898.86,1.4086,0.95304,1.0251,0.72718,0.72727,0.81556,0.41628,1.63707,1.04005,0.99415,0.004951,0.004951,0.004951
53,4990.73,1.42168,0.92827,1.01235,0.59271,0.87273,0.79055,0.44731,1.53212,1.05429,0.95695,0.004852,0.004852,0.004852
54,5083.53,1.37066,0.94932,0.98129,0.60837,0.90385,0.78177,0.44353,1.5966,1.07722,0.9734,0.004753,0.004753,0.004753
55,5176.31,1.40727,0.94044,1.01862,0.76434,0.65455,0.76509,0.3763,1.74884,1.09835,1.0315,0.004654,0.004654,0.004654
56,5268.74,1.36899,0.93107,0.98099,0.67099,0.87273,0.78711,0.42926,1.55,1.02805,0.98339,0.004555,0.004555,0.004555
57,5361.35,1.36829,0.94311,0.97185,0.77956,0.65455,0.76097,0.37916,1.72248,1.12788,1.0237,0.004456,0.004456,0.004456
58,5453.05,1.31197,0.90621,0.97076,0.77909,0.70909,0.76705,0.36219,1.71128,1.07896,1.02939,0.004357,0.004357,0.004357
59,5545.89,1.40108,0.91089,0.99242,0.69952,0.74545,0.76957,0.39405,1.64303,1.05541,0.99911,0.004258,0.004258,0.004258
60,5638.25,1.32469,0.83056,0.9713,0.67093,0.81558,0.7464,0.41663,1.50044,1.06758,0.96306,0.004159,0.004159,0.004159
61,5731.2,1.3722,0.89487,0.98706,0.66969,0.8,0.79856,0.43351,1.53646,1.03242,0.97209,0.00406,0.00406,0.00406
62,5823.28,1.36458,0.89659,1.00043,0.68359,0.81818,0.79667,0.44274,1.46126,1.01094,0.95031,0.003961,0.003961,0.003961
63,5916.49,1.31406,0.85249,0.97815,0.70753,0.85455,0.80007,0.42627,1.49512,0.98911,0.95995,0.003862,0.003862,0.003862
64,6011.07,1.34556,0.86888,0.97196,0.68454,0.83636,0.807,0.46082,1.40021,0.97916,0.95012,0.003763,0.003763,0.003763
65,6103.54,1.34073,0.91205,0.98164,0.67901,0.84622,0.81803,0.43932,1.57199,0.98204,0.99424,0.003664,0.003664,0.003664
66,6196.4,1.32052,0.8729,0.98601,0.72168,0.84866,0.8112,0.46814,1.46592,0.95222,0.96876,0.003565,0.003565,0.003565
67,6289.87,1.2621,0.83638,0.96614,0.64814,0.87082,0.80675,0.48183,1.43317,0.97054,0.95649,0.003466,0.003466,0.003466
68,6382.59,1.3459,0.85123,0.99109,0.68368,0.83636,0.80074,0.45603,1.50622,0.99843,0.97101,0.003367,0.003367,0.003367
69,6475.11,1.29282,0.82596,0.99477,0.69672,0.74545,0.80057,0.43816,1.51588,1.06981,0.98663,0.003268,0.003268,0.003268
70,6568.3,1.26069,0.81882,0.958,0.64913,0.81818,0.81006,0.4368,1.53031,1.06565,0.98571,0.003169,0.003169,0.003169
71,6660.25,1.29371,0.8154,0.98207,0.6483,0.8,0.80181,0.45435,1.51269,1.00923,0.96827,0.00307,0.00307,0.00307
72,6752.62,1.26948,0.78803,0.96903,0.6501,0.81818,0.8075,0.44403,1.53432,0.99589,0.98232,0.002971,0.002971,0.002971
73,6855.84,1.28018,0.8035,0.99126,0.65763,0.83821,0.82641,0.45487,1.48927,0.98996,0.97201,0.002872,0.002872,0.002872
74,6954.08,1.28394,0.83155,0.96016,0.68198,0.81818,0.82781,0.48709,1.40008,0.98968,0.9422,0.002773,0.002773,0.002773
75,7046.78,1.28396,0.8011,0.97418,0.6675,0.83636,0.82224,0.48574,1.36797,0.95585,0.93857,0.002674,0.002674,0.002674
76,7142.79,1.22573,0.79946,0.94663,0.69694,0.79448,0.81974,0.48979,1.36435,0.94547,0.93567,0.002575,0.002575,0.002575
77,7235.11,1.27591,0.81736,0.9416,0.67486,0.76364,0.79939,0.48486,1.38317,1.00696,0.93778,0.002476,0.002476,0.002476
78,7326.27,1.21909,0.75859,0.95772,0.61538,0.8,0.7999,0.46457,1.43131,0.99977,0.94976,0.002377,0.002377,0.002377
79,7417.63,1.22887,0.77991,0.95572,0.74092,0.72727,0.79958,0.48921,1.36999,1.01992,0.93363,0.002278,0.002278,0.002278
80,7508.93,1.23441,0.76786,0.95802,0.68374,0.83636,0.80886,0.49544,1.35554,0.96124,0.92729,0.002179,0.002179,0.002179
81,7601.01,1.24985,0.78708,0.9701,0.66005,0.84733,0.81637,0.50442,1.37733,0.93986,0.92023,0.00208,0.00208,0.00208
82,7692.12,1.20323,0.7837,0.95283,0.69772,0.8,0.81316,0.50992,1.39386,0.93279,0.91905,0.001981,0.001981,0.001981
83,7784.99,1.21473,0.7803,0.96308,0.73445,0.80463,0.81938,0.50715,1.40287,0.93975,0.92447,0.001882,0.001882,0.001882
84,7876.63,1.24275,0.72197,0.94915,0.74015,0.8,0.82468,0.49847,1.37929,0.92977,0.92325,0.001783,0.001783,0.001783
85,7968.65,1.224,0.75758,0.96101,0.75333,0.8,0.82582,0.49487,1.37859,0.91952,0.92061,0.001684,0.001684,0.001684
86,8060.6,1.15706,0.71368,0.9321,0.65954,0.84538,0.81579,0.48629,1.35516,0.9373,0.91649,0.001585,0.001585,0.001585
87,8152.12,1.15981,0.71612,0.93627,0.65539,0.87273,0.81344,0.48108,1.37954,0.96238,0.92845,0.001486,0.001486,0.001486
88,8243.22,1.15436,0.6924,0.94545,0.72057,0.74545,0.81104,0.50057,1.33993,0.9397,0.91979,0.001387,0.001387,0.001387
89,8334.16,1.12489,0.69329,0.94851,0.64259,0.84996,0.80308,0.48965,1.32788,0.95428,0.91193,0.001288,0.001288,0.001288
90,8425.68,1.10233,0.65676,0.9306,0.66694,0.85455,0.80881,0.49585,1.34256,0.96161,0.91219,0.001189,0.001189,0.001189
91,8517.16,1.07745,0.65549,0.93186,0.73312,0.78182,0.79452,0.49415,1.32049,0.97613,0.9148,0.00109,0.00109,0.00109
92,8608.22,1.08699,0.6998,0.92811,0.69137,0.81818,0.80257,0.50003,1.32249,0.98999,0.9191,0.000991,0.000991,0.000991
93,8699.66,1.08105,0.68113,0.92536,0.70578,0.82875,0.81497,0.49714,1.33344,0.98796,0.92463,0.000892,0.000892,0.000892
94,8791.82,1.1167,0.66793,0.95579,0.71864,0.8,0.8222,0.50279,1.33242,0.97321,0.9248,0.000793,0.000793,0.000793
95,8883.26,1.10094,0.66007,0.92814,0.67258,0.85908,0.82303,0.49178,1.36504,0.95505,0.93128,0.000694,0.000694,0.000694
96,8974.51,1.0876,0.66551,0.91993,0.65931,0.85455,0.79866,0.48477,1.37766,0.94736,0.93346,0.000595,0.000595,0.000595
97,9065.47,1.13763,0.66134,0.95974,0.6886,0.83636,0.79724,0.48348,1.38537,0.95018,0.93561,0.000496,0.000496,0.000496
98,9156.54,1.09869,0.63774,0.93969,0.69156,0.83636,0.79477,0.48544,1.37749,0.96482,0.93103,0.000397,0.000397,0.000397
99,9247.61,1.03555,0.64019,0.91122,0.68843,0.83636,0.79228,0.49691,1.3564,0.98004,0.92119,0.000298,0.000298,0.000298
100,9338.69,1.11066,0.64936,0.93515,0.69056,0.83636,0.7952,0.49775,1.35542,0.98677,0.91965,0.000199,0.000199,0.000199
